2023-01-20 05:55:02: Client ('127.0.10.10', 50001) is connecting to server.
2023-01-20 05:56:02: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:03: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:03: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:04: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:04: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:04: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:05: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:05: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:05: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:05: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:06: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:06: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:06: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:06: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:06: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:07: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:09: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
2023-01-20 05:56:10: Client ('127.0.10.10', 50001) send UDP datagram '1 - 2' to: ('127.0.10.10', 50001).
